barIndex,time,direction,trendSide,missed_profit,fastGrad,accel,adx,rsi,gradStab,bandwidth,blockers,blocker_count
3738,09:09:01,SHORT,BEAR,4.75,-0.006,0.104,29.4,54.5,0.125,0.000046,"['FastGrad too weak (-0.006 > -0.008)', 'AccelMisaligned (fastGrad=-0.006 but accel=0.104)']",2
3880,10:20:00,LONG,BEAR,4.75,-0.269,-0.44,12.0,51.9,0.323,0.000068,"['FastGrad too weak (-0.269 < 0.008)', 'Close below fastEMA (25352.00 < 25353.21)', 'ADX too low (12.0 < 12.0)']",3
3877,10:18:30,SHORT,BULL,4.75,0.691,0.733,13.7,60.6,0.09,0.000102,"['FastGrad too weak (0.691 > -0.008)', 'Close above fastEMA (25356.75 > 25353.64)']",2
3886,10:23:00,SHORT,BULL,4.5,0.131,-0.117,12.5,54.3,0.045,0.000043,"['FastGrad too weak (0.131 > -0.008)', 'Close above fastEMA (25354.50 > 25353.91)']",2
3740,09:10:00,SHORT,BULL,4.5,0.013,0.016,27.6,53.8,0.079,0.000032,"['FastGrad too weak (0.013 > -0.008)', 'Close above fastEMA (25380.50 > 25380.44)']",2
3805,09:42:30,LONG,BEAR,4.5,-0.893,-1.147,27.8,35.8,0.072,0.000203,"['FastGrad too weak (-0.893 < 0.008)', 'Close below fastEMA (25358.25 < 25362.27)']",2
3760,09:20:00,LONG,BEAR,4.5,-0.491,-0.545,16.6,42.7,0.161,0.000036,"['FastGrad too weak (-0.491 < 0.008)', 'Close below fastEMA (25376.00 < 25378.21)']",2
3766,09:23:00,SHORT,BULL,4.5,0.652,0.742,14.7,56.9,0.332,0.000004,"['FastGrad too weak (0.652 > -0.008)', 'Close above fastEMA (25382.25 > 25379.31)']",2
3777,09:28:30,LONG,BULL,4.5,0.077,0.038,11.1,52.5,0.01,0.000019,['ADX too low (11.1 < 12.0)'],1
3793,09:36:32,SHORT,BULL,4.5,0.283,0.623,13.2,51.4,0.192,0.000016,"['FastGrad too weak (0.283 > -0.008)', 'Close above fastEMA (25379.50 > 25378.23)']",2
3871,10:15:31,SHORT,BULL,4.25,1.161,1.696,17.7,62.7,0.361,0.000094,"['FastGrad too weak (1.161 > -0.008)', 'Close above fastEMA (25355.50 > 25350.28)']",2
3881,10:20:30,SHORT,BULL,4.25,0.391,0.367,11.8,57.5,0.007,0.000080,"['FastGrad too weak (0.391 > -0.008)', 'Close above fastEMA (25356.00 > 25354.24)', 'ADX too low (11.8 < 12.0)']",3
3742,09:11:00,LONG,BEAR,4.25,-0.693,-0.902,25.1,46.2,0.371,0.000002,"['FastGrad too weak (-0.693 < 0.008)', 'Close below fastEMA (25376.00 < 25379.12)']",2
3771,09:25:30,LONG,BEAR,4.25,-0.213,-0.483,12.9,47.6,0.091,0.000008,"['FastGrad too weak (-0.213 < 0.008)', 'Close below fastEMA (25377.75 < 25378.71)']",2
3728,09:04:01,SHORT,BULL,4.25,0.331,0.349,32.6,60.2,0.078,0.000094,"['FastGrad too weak (0.331 > -0.008)', 'Close above fastEMA (25381.00 > 25379.51)']",2
3686,08:43:00,SHORT,BULL,4.25,0.305,0.595,23.7,58.0,0.011,0.000064,"['FastGrad too weak (0.305 > -0.008)', 'Close above fastEMA (25357.25 > 25355.88)']",2
3873,10:16:30,SHORT,BULL,4.0,0.791,1.078,16.4,60.5,0.142,0.000103,"['FastGrad too weak (0.791 > -0.008)', 'Close above fastEMA (25355.25 > 25351.69)']",2
3759,09:19:31,LONG,BEAR,4.0,-0.727,-0.833,15.8,41.0,0.293,0.000034,"['FastGrad too weak (-0.727 < 0.008)', 'Close below fastEMA (25375.25 < 25378.52)']",2
3790,09:35:00,LONG,BEAR,4.0,-0.286,-0.572,15.7,43.2,0.007,0.000054,"['FastGrad too weak (-0.286 < 0.008)', 'Close below fastEMA (25375.50 < 25376.79)']",2
3893,10:26:30,LONG,BULL,4.0,0.108,0.188,11.5,54.5,0.072,0.000048,['ADX too low (11.5 < 12.0)'],1
3695,08:47:30,SHORT,BULL,4.0,1.292,1.524,24.2,69.0,0.376,0.000114,"['FastGrad too weak (1.292 > -0.008)', 'Close above fastEMA (25367.00 > 25361.18)']",2
3874,10:17:00,SHORT,BULL,4.0,0.647,0.791,15.9,60.5,0.06,0.000105,"['FastGrad too weak (0.647 > -0.008)', 'Close above fastEMA (25355.25 > 25352.34)']",2
