"barIndex","Time","trendSide","fastGrad","slowGrad","accel","adx","rsi","gradStab","bandwidth","close","fastEMA","slowEMA"
"3748","09:14:00","BEAR","-0.150869296321616","-0.05262812489309","-0.0177291399486421","16.9063587217094","50.2121396310692","0.0982411714285263","7.05075542063147E-06","25379.0","25379.6789118334","25379.4999671865"
"3749","09:14:32","BULL","0.099701980696409","0.0816357781586703","0.121857976406318","16.9863350388985","53.1807176300405","0.0180662025377387","1.28796110409838E-05","25380.5","25380.0513410869","25379.7244601075"
"3751","09:15:35","BULL","0.191836562582466","0.135555645632849","0.234466909823823","14.9818312279812","54.6205093130674","0.0562809169496177","1.67263488492201E-05","25381.25","25380.3867354684","25379.9622213665"
"3752","09:16:00","BULL","0.499932394181087","0.318790708861343","0.555472926218499","14.5159354094621","58.8952858669306","0.181141685319744","3.0685638000594E-05","25383.5","25381.2503042262","25380.4714882658"
"3753","09:16:30","BULL","0.243746339041536","0.197726741127553","0.40902330326935","13.4844600816855","56.4195134615923","0.0460195979139826","3.07930013470729E-05","25382.5","25381.4031414743","25380.6215959593"
"3754","09:17:00","BULL","0.60851973194076","0.415857074171072","0.743746339041536","13.292932088501","61.9043469847143","0.192662657769688","4.77636465246734E-05","25385.25","25382.5116612063","25381.2993577954"
"3755","09:17:31","BULL","0.154904574068496","0.180106513820647","0.244883368304727","11.9373395480447","55.9635323152947","0.0252019397521508","3.99483768703067E-05","25383.0","25382.3029294167","25381.2889881187"
"3756","09:18:00","BULL","0.00690539531569812","0.0960600884645828","0.0639954831603973","11.1166109597923","54.0692788003695","0.0891546931488847","3.47301068738729E-05","25382.25","25382.2189257211","25381.3374291596"
"3757","09:18:30","BEAR","-0.7298873211912","-0.341659919962694","-0.947640059232072","13.1891976330011","43.8710223756669","0.388227401228505","1.52572692402641E-06","25377.25","25380.5344929454","25380.4957692396"
"3758","09:19:02","BEAR","-0.878172271055519","-0.476921333476639","-1.18443277573897","15.2293042714981","40.843796660047","0.40125093757888","2.28125472767823E-05","25375.25","25379.2017752197","25379.780752668"
"3759","09:19:31","BEAR","-0.726769048222195","-0.433767827795236","-0.832717725603288","15.8171068964278","40.990621735026","0.293001220426959","3.35049144428492E-05","25375.25","25378.520460717","25379.3707943641"
"3760","09:20:00","BEAR","-0.491323436148377","-0.330098329457542","-0.54495086640236","16.6488227195363","42.7465664453936","0.161225106690836","3.64464207759853E-05","25376.0","25378.2109554627","25379.1359341298"
"3761","09:20:30","BEAR","-0.393727439495706","-0.29639281962227","-0.536777981600608","15.449971481012","42.9476940187726","0.0973346198734362","4.11350285110104E-05","25376.0","25377.7717734777","25378.8157317864"
"3762","09:21:00","BEAR","-0.632057987681037","-0.455239761970006","-0.939181984947936","16.2193096023706","39.5146741283874","0.176818225711031","5.83384203537337E-05","25373.75","25376.5942609446","25378.0747777387"
"3763","09:21:31","BEAR","-0.099782981658791","-0.172654569221777","-0.177512533136905","16.4842413425323","45.9300626883181","0.072871587562986","4.69378362594312E-05","25376.5","25376.9490234175","25378.1402184076"
"3764","09:22:00","BULL","0.335714750544867","0.083017748027487","0.354762472885341","15.0084511086975","51.4730126060707","0.25269700251738","2.84512036307423E-05","25379.25","25377.7392836225","25378.4613313937"
"3765","09:22:30","BULL","0.468890581025335","0.185088620099123","0.517532932361064","15.0088534029071","53.8102192703036","0.283801960926212","1.38567044974027E-05","25380.5","25378.3899923854","25378.7416581091"
"3766","09:23:00","BULL","0.652232789430855","0.320522356960282","0.741617853753269","14.7483771691111","56.9245998391998","0.331710432470572","4.33090155929714E-06","25382.25","25379.3149524475","25379.2050376089"
"3767","09:23:31","BULL","0.413810298789031","0.223102994164947","0.561323698522756","15.5705952943694","55.2876436933964","0.190707304624084","1.01394161211651E-05","25381.5","25379.6378536554","25379.3805215554"
"3768","09:24:02","BEAR","-0.0622543836325349","-0.0328387875924818","-0.1316442466632","14.5768292293356","49.4039456454398","0.0294155960400531","1.25393743128083E-06","25378.75","25379.0301447263","25379.0619684821"
"3769","09:24:33","BULL","0.283775339012209","0.164166267008113","0.346836525455728","14.2534500779339","53.6954933706171","0.119609072004096","1.11346233940287E-05","25381.0","25379.7230109744","25379.4404204634"
"3770","09:25:00","BEAR","-0.0281507556828728","-0.00226226635641069","-0.0344064791679557","13.9531694373465","50.1337111284784","0.0258884893264621","4.14459769774737E-06","25379.25","25379.3766784006","25379.2714915304"
"3771","09:25:30","BEAR","-0.213115081100113","-0.122228218311648","-0.482696210227004","12.8708303344068","47.5822135537672","0.0908868627884658","7.96528297467638E-06","25377.75","25378.7090178649","25378.911168074"
"3772","09:26:00","BEAR","-0.025606553957914","-0.0244196351632127","-0.031296899280278","11.8972890719261","49.518648916451","0.00118691879470134","4.60054076701776E-06","25378.75","25378.8652294928","25378.9819865341"
"3773","09:26:32","BULL","0.239379761638702","0.128699695171235","0.292575264225889","11.0769956019541","52.8044984034523","0.110680066467467","5.73058778256881E-06","25380.5","25379.4227910726","25379.2773528959"
"3774","09:27:00","BULL","0.241310714067367","0.140252105153195","0.239379761638702","10.3573772495035","53.3080340067857","0.101058608914173","9.71246816926684E-06","25380.75","25379.6641017867","25379.417605001"
"3775","09:27:31","BULL","0.309006286719523","0.191520612144814","0.377674350434972","10.4638820186094","54.7561727333065","0.117485674574709","1.69000363988886E-05","25381.5","25380.1094717098","25379.6805541846"
"3776","09:28:00","BULL","0.310674565163936","0.211829306677828","0.49082446853572","11.4336964331393","55.4130136231063","0.0988452584861079","2.42057986544219E-05","25382.0","25380.6019644568","25379.9876215865"
"3777","09:28:30","BULL","0.0765023301755718","0.0862129101260507","0.0379472924360016","11.0545638429104","52.4558701875876","0.00971057995047886","1.87062037647036E-05","25380.75","25380.4057395142","25379.9309773538"
"3778","09:29:00","BULL","0.360113476755942","0.250337757690431","0.440138693811605","11.030278092164","56.363998191877","0.10977571906551","2.98537018626594E-05","25382.75","25381.1294893546","25380.371791302"
"3779","09:29:30","BULL","0.538439952055342","0.372754569878452","0.769204385844205","12.7513439268654","59.0364693454509","0.165685382176889","4.40562012264081E-05","25384.5","25382.0770202157","25380.9588315861"
"3780","09:30:00","BULL","0.448806241765851","0.339521708348911","0.492985406599473","13.0064110247175","58.881598884784","0.10928453341694","4.75085732709878E-05","25384.5","25382.480371912","25381.2745437707"
"3781","09:30:31","BULL","0.470510892024322","0.369544584202231","0.630624423585687","15.2627985368911","59.950529659149","0.100966307822091","5.48967317745376E-05","25385.25","25383.1327009859","25381.7393264501"
"3782","09:31:00","BULL","0.302318829009891","0.288998387968604","0.425056346572092","16.5023789545199","58.5650426750118","0.0133204410412873","5.45681864621026E-05","25384.75","25383.3895652694","25382.0045153143"
"3783","09:31:30","BEAR","-0.22785484238193","-0.0163030458061257","-0.334044807354076","14.9879667159731","50.6962453004241","0.211551796575804","3.4295157652954E-05","25381.5","25382.5253467907","25381.6548789351"
"3784","09:32:00","BEAR","-0.975682887568837","-0.469398900851957","-1.13694575147019","14.810146551385","41.0447572959314","0.50628398671688","2.707432769684E-06","25376.25","25380.640572994","25380.7092895581"
"3785","09:32:30","BEAR","-1.20737690800888","-0.661655694875662","-1.47568288756884","16.3773401597277","37.0727521309487","0.54572121313322","3.35910249352287E-05","25373.5","25378.933196086","25379.7857291013"
"3786","09:33:00","BEAR","-0.9506637511804","-0.577098916677642","-1.16192236255301","17.8393886202341","37.6633441999922","0.373564834502758","4.74582054833376E-05","25373.75","25378.0279868803","25379.2324397084"
"3787","09:33:30","BEAR","-0.37698935014123","-0.287443237539264","-0.405209205724532","16.873989012901","43.9792399091415","0.0895461126019654","4.07521682898993E-05","25376.5","25378.1964520756","25379.2307107566"
"3788","09:34:01","BEAR","-0.27952021209785","-0.240793314689654","-0.286080259233131","15.3794630467923","44.4801153431373","0.0387268974081962","4.05726786774679E-05","25376.75","25378.0078409544","25379.0375364895"
"3789","09:34:30","BEAR","-0.526219016512186","-0.39019621895568","-0.643156575737521","15.5835597168647","41.1099292413027","0.136022797556507","5.27564978832702E-05","25374.75","25377.1179855743","25378.4568640801"
"3790","09:35:00","BEAR","-0.285914732517995","-0.279338529169763","-0.571673561964417","15.7186882575974","43.1667130932645","0.0065762033482315","5.38691563665021E-05","25375.5","25376.7866162963","25378.1537160271"
"3791","09:35:30","BEAR","-0.0562442852788081","-0.147292682857369","-0.0131874597900605","14.5694631518395","46.0247929939025","0.091048397578561","4.5164097298917E-05","25376.75","25377.0030992838","25378.1492804871"
"3792","09:36:02","BULL","0.259767072373506","0.0413383663035347","0.261937532901356","13.2509260601636","50.2307122360529","0.218428706069972","3.05865875026905E-05","25378.75","25377.5810481743","25378.3572855201"
"3793","09:36:32","BULL","0.282784629460366","0.0906893608953396","0.623403436005901","13.2162811992126","51.4142829518008","0.192095268565026","1.61940091805984E-05","25379.5","25378.2274691674","25378.6384510715"
"3794","09:37:00","BEAR","-0.305820840356319","-0.224070170072082","-0.262669915991864","12.8368242031633","45.049080552206","0.0817506702842365","2.965044601891E-05","25376.0","25377.3761937816","25378.1286666157"
"3795","09:37:30","BEAR","-0.390712918968347","-0.286630380629504","-0.533093567632022","13.1811885520209","43.5694664933865","0.104082538338844","3.80168260599364E-05","25375.0","25376.7582081354","25377.722988616"
"3796","09:38:00","BULL","0.163796867949713","0.0207131023307738","0.200196171939751","12.1266051613464","49.8277526763493","0.14308376561894","2.12904996632235E-05","25378.25","25377.5129140942","25378.0532255279"
"3797","09:38:33","BEAR","-0.254414132832608","-0.201214222608542","-0.199839495686319","11.7159512771763","45.5761666841362","0.0531999102240661","3.02104871236294E-05","25375.75","25376.8948635977","25377.6615351148"
"3798","09:39:00","BEAR","-0.133776852486335","-0.138967063085147","-0.163505041924509","11.8709361222869","46.4162725736507","0.00519021059881197","2.83002374873126E-05","25376.25","25376.8519958362","25377.5701870993"
"3799","09:39:30","BEAR","-0.741685193355806","-0.491945256624604","-0.906504125214269","13.2205806575831","39.7150379265401","0.249739936731203","5.26426983780133E-05","25372.0","25375.3375833701","25376.6734799379"
"3800","09:40:00","BEAR","-1.34237053010293","-0.87366475599265","-1.69623064789994","15.9095255023546","33.8627274312808","0.468705774110276","8.90294031184006E-05","25367.0","25373.0406673854","25375.2998151819"
"3801","09:40:30","BEAR","-3.48673291305749","-2.1714109697059","-4.20600689373532","20.4896100122746","21.9017854017577","1.31532194335159","0.000194631027414081","25351.0","25366.6902981087","25371.6284042122"
"3802","09:41:00","BEAR","-1.99740957349422","-1.46914507236579","-2.44127836760163","23.2432837846474","30.966661889345","0.528264501128433","0.000195837472350553","25356.75","25365.7383430807","25370.7068781875"
"3803","09:41:30","BEAR","-1.88631031219848","-1.47775257114336","-2.36104593712662","25.6506966353638","30.0410395790243","0.40855774105512","0.000218780581230542","25355.0","25363.4883964049","25369.0386494259"
"3804","09:42:01","BEAR","-0.828468767831509","-0.92544960518353","-1.06812849401467","26.6077418727877","36.9553915294381","0.0969808373520209","0.000199603975651327","25359.75","25363.4781094552","25368.5417712492"
"3805","09:42:30","BEAR","-0.892714115831041","-0.964295674533787","-1.14665058601167","27.8479461309626","35.7850065319064","0.0715815587027464","0.000202763909394388","25358.25","25362.2672135212","25367.410808908"
"3806","09:43:00","BEAR","-0.746931384026539","-0.876993138634134","-0.801805024919304","29.2588330065133","36.076419099221","0.130061754607596","0.000195936673678257","25358.25","25361.6111912281","25366.581434817"
"3807","09:43:30","BEAR","-0.751621545605303","-0.877370209331275","-0.974204111298604","31.1808813264342","35.4191946960434","0.125748663725972","0.000195253530723214","25357.25","25360.6322969552","25365.5850169887"
"3808","09:44:00","BEAR","-0.490996140622883","-0.714446062411298","-0.433439727425139","32.3080195550525","37.4310315521568","0.223449921788415","0.000180474994664623","25358.25","25360.4594826328","25365.0372375929"
"3809","09:44:30","BULL","0.0817469593239366","-0.366358228806348","0.0999129502852156","31.5803350153773","41.9630787140515","0.448105188130285","0.000151715650059373","25361.5","25361.132138683","25364.9804031736"
