ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-19 09:33:30.000,PLOT,1026,BULL,Triangle drawn on chart,netflow=-1.00
2025-11-19 09:34:00.000,LOGGED,1027,BULL,Written to signals CSV,"price=24600.00,netflow=-1.00"
2025-11-19 09:46:00.000,PLOT,1051,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-19 09:46:30.000,LOGGED,1052,BEAR,Written to signals CSV,"price=24599.00,netflow=0.50"
2025-11-19 09:47:00.000,PLOT,1053,BULL,Triangle drawn on chart,netflow=-2.00
2025-11-19 09:47:30.000,LOGGED,1054,BULL,Written to signals CSV,"price=24601.75,netflow=-2.00"
2025-11-19 10:05:00.000,PLOT,1089,BEAR,Triangle drawn on chart,netflow=-1.50
2025-11-19 10:05:30.000,LOGGED,1090,BEAR,Written to signals CSV,"price=24606.00,netflow=-1.50"
2025-11-19 10:08:30.000,PLOT,1096,BULL,Triangle drawn on chart,netflow=-1.00
2025-11-19 10:09:00.000,LOGGED,1097,BULL,Written to signals CSV,"price=24613.75,netflow=-1.00"
2025-11-19 10:10:00.000,PLOT,1099,BEAR,Triangle drawn on chart,netflow=-3.00
2025-11-19 10:10:30.000,LOGGED,1100,BEAR,Written to signals CSV,"price=24592.75,netflow=-3.00"
2025-11-19 10:21:00.000,PLOT,1121,BULL,Triangle drawn on chart,netflow=2.41
2025-11-19 10:21:30.000,LOGGED,1122,BULL,Written to signals CSV,"price=24603.75,netflow=2.41"
2025-11-19 10:38:30.000,PLOT,1156,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-19 10:39:00.000,LOGGED,1157,BEAR,Written to signals CSV,"price=24619.75,netflow=-0.50"
2025-11-19 10:50:00.000,PLOT,1179,BULL,Triangle drawn on chart,netflow=1.00
2025-11-19 10:50:30.000,LOGGED,1180,BULL,Written to signals CSV,"price=24615.75,netflow=1.00"
2025-11-19 10:52:00.000,PLOT,1183,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-19 10:52:30.000,LOGGED,1184,BEAR,Written to signals CSV,"price=24603.25,netflow=-0.50"
2025-11-19 11:10:30.000,PLOT,1220,BULL,Triangle drawn on chart,netflow=1.27
2025-11-19 11:11:00.000,LOGGED,1221,BULL,Written to signals CSV,"price=24603.75,netflow=1.27"
2025-11-19 11:36:30.000,PLOT,1272,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-19 11:37:00.000,LOGGED,1273,BEAR,Written to signals CSV,"price=24625.00,netflow=-2.00"
2025-11-19 11:43:00.000,PLOT,1285,BULL,Triangle drawn on chart,netflow=1.69
2025-11-19 11:43:30.000,LOGGED,1286,BULL,Written to signals CSV,"price=24635.25,netflow=1.69"
2025-11-19 12:08:30.000,PLOT,1336,BEAR,Triangle drawn on chart,netflow=0.61
2025-11-19 12:09:00.000,LOGGED,1337,BEAR,Written to signals CSV,"price=24675.50,netflow=0.61"
2025-11-19 12:09:00.000,PLOT,1337,BULL,Triangle drawn on chart,netflow=-2.00
2025-11-19 12:09:30.000,LOGGED,1338,BULL,Written to signals CSV,"price=24672.00,netflow=-2.00"
2025-11-19 12:09:30.000,PLOT,1338,BEAR,Triangle drawn on chart,netflow=0.18
2025-11-19 12:10:00.000,LOGGED,1339,BEAR,Written to signals CSV,"price=24675.50,netflow=0.18"
