timestamp,event,CurrentBar,EnableLogging,LogDrawnSignals,LogFolder,logInitialized,signalDrawInitialized,State,Instrument,AdditionalInfo
2025-11-18 01:23:57.417,FlushCachedBar_Called,32,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=31; CurrentBar=32}
2025-11-18 01:23:57.456,FlushCachedBar_Logging,32,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=31}
2025-11-18 01:23:58.157,FlushCachedBar_Called,33,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=32; CurrentBar=33}
2025-11-18 01:23:58.191,FlushCachedBar_Logging,33,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=32}
2025-11-18 01:23:58.735,FlushCachedBar_Called,34,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=33; CurrentBar=34}
2025-11-18 01:23:58.768,FlushCachedBar_Logging,34,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=33}
2025-11-18 01:23:59.414,FlushCachedBar_Called,35,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=34; CurrentBar=35}
2025-11-18 01:23:59.454,FlushCachedBar_Logging,35,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=34}
2025-11-18 01:24:00.061,FlushCachedBar_Called,36,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=35; CurrentBar=36}
2025-11-18 01:24:00.110,FlushCachedBar_Logging,36,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=35}
2025-11-18 01:24:00.736,FlushCachedBar_Called,37,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=36; CurrentBar=37}
2025-11-18 01:24:00.779,FlushCachedBar_Logging,37,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=36}
2025-11-18 01:24:01.521,FlushCachedBar_Called,38,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=37; CurrentBar=38}
2025-11-18 01:24:01.585,FlushCachedBar_Logging,38,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=37}
2025-11-18 01:24:02.220,FlushCachedBar_Called,39,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=38; CurrentBar=39}
2025-11-18 01:24:02.274,FlushCachedBar_Logging,39,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=38}
2025-11-18 01:24:03.068,FlushCachedBar_Called,40,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=39; CurrentBar=40}
2025-11-18 01:24:03.120,FlushCachedBar_Logging,40,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=39}
2025-11-18 01:24:03.908,FlushCachedBar_Called,41,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=40; CurrentBar=41}
2025-11-18 01:24:03.974,FlushCachedBar_Logging,41,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=40}
2025-11-18 01:24:04.968,FlushCachedBar_Called,42,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=41; CurrentBar=42}
2025-11-18 01:24:05.055,FlushCachedBar_Logging,42,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=41}
2025-11-18 01:24:05.939,FlushCachedBar_Called,43,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=42; CurrentBar=43}
2025-11-18 01:24:06.003,FlushCachedBar_Logging,43,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=42}
2025-11-18 01:24:06.897,FlushCachedBar_Called,44,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=43; CurrentBar=44}
2025-11-18 01:24:06.964,FlushCachedBar_Logging,44,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=43}
2025-11-18 01:24:07.781,FlushCachedBar_Called,45,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=44; CurrentBar=45}
2025-11-18 01:24:07.856,FlushCachedBar_Logging,45,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=44}
2025-11-18 01:24:08.757,FlushCachedBar_Called,46,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=45; CurrentBar=46}
2025-11-18 01:24:08.819,FlushCachedBar_Logging,46,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=45}
2025-11-18 01:24:09.721,FlushCachedBar_Called,47,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=46; CurrentBar=47}
2025-11-18 01:24:09.782,FlushCachedBar_Logging,47,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=46}
2025-11-18 01:24:10.560,FlushCachedBar_Called,48,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=47; CurrentBar=48}
2025-11-18 01:24:10.607,FlushCachedBar_Logging,48,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=47}
2025-11-18 01:24:11.364,FlushCachedBar_Called,49,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=48; CurrentBar=49}
2025-11-18 01:24:11.432,FlushCachedBar_Logging,49,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=48}
2025-11-18 01:24:12.031,FlushCachedBar_Called,50,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=49; CurrentBar=50}
2025-11-18 01:24:12.080,FlushCachedBar_Logging,50,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=49}
2025-11-18 01:24:13.143,FlushCachedBar_Called,51,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=50; CurrentBar=51}
2025-11-18 01:24:13.166,FlushCachedBar_Logging,51,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=50}
2025-11-18 01:24:13.897,FlushCachedBar_Called,52,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=51; CurrentBar=52}
2025-11-18 01:24:13.959,FlushCachedBar_Logging,52,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=51}
2025-11-18 01:24:14.821,FlushCachedBar_Called,53,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=52; CurrentBar=53}
2025-11-18 01:24:14.886,FlushCachedBar_Logging,53,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=52}
2025-11-18 01:24:15.541,FlushCachedBar_Called,54,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=53; CurrentBar=54}
2025-11-18 01:24:15.611,FlushCachedBar_Logging,54,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=53}
2025-11-18 01:24:16.306,FlushCachedBar_Called,55,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=54; CurrentBar=55}
2025-11-18 01:24:16.354,FlushCachedBar_Logging,55,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=54}
2025-11-18 01:24:17.154,FlushCachedBar_Called,56,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=55; CurrentBar=56}
2025-11-18 01:24:17.197,FlushCachedBar_Logging,56,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=55}
2025-11-18 01:24:17.999,FlushCachedBar_Called,57,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=56; CurrentBar=57}
2025-11-18 01:24:18.067,FlushCachedBar_Logging,57,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=56}
2025-11-18 01:24:18.905,FlushCachedBar_Called,58,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=57; CurrentBar=58}
2025-11-18 01:24:18.971,FlushCachedBar_Logging,58,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=57}
2025-11-18 01:24:19.934,FlushCachedBar_Called,59,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=58; CurrentBar=59}
2025-11-18 01:24:19.980,FlushCachedBar_Logging,59,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=58}
2025-11-18 01:24:20.836,FlushCachedBar_Called,60,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=59; CurrentBar=60}
2025-11-18 01:24:20.889,FlushCachedBar_Logging,60,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=59}
2025-11-18 01:24:21.866,FlushCachedBar_Called,61,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=60; CurrentBar=61}
2025-11-18 01:24:21.911,FlushCachedBar_Logging,61,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=60}
2025-11-18 01:24:22.763,FlushCachedBar_Called,62,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=61; CurrentBar=62}
2025-11-18 01:24:22.833,FlushCachedBar_Logging,62,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=61}
2025-11-18 01:24:23.695,FlushCachedBar_Called,63,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=62; CurrentBar=63}
2025-11-18 01:24:23.767,FlushCachedBar_Logging,63,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=62}
2025-11-18 01:24:24.693,FlushCachedBar_Called,64,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=63; CurrentBar=64}
2025-11-18 01:24:24.760,FlushCachedBar_Logging,64,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=63}
2025-11-18 01:24:25.636,FlushCachedBar_Called,65,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=64; CurrentBar=65}
2025-11-18 01:24:25.716,FlushCachedBar_Logging,65,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=64}
2025-11-18 01:24:26.702,FlushCachedBar_Called,66,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=65; CurrentBar=66}
2025-11-18 01:24:26.750,FlushCachedBar_Logging,66,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=65}
2025-11-18 01:24:27.558,FlushCachedBar_Called,67,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=66; CurrentBar=67}
2025-11-18 01:24:27.636,FlushCachedBar_Logging,67,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=66}
2025-11-18 01:24:28.501,FlushCachedBar_Called,68,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=67; CurrentBar=68}
2025-11-18 01:24:28.539,FlushCachedBar_Logging,68,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=67}
2025-11-18 01:24:29.389,FlushCachedBar_Called,69,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=68; CurrentBar=69}
2025-11-18 01:24:29.480,FlushCachedBar_Logging,69,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=68}
2025-11-18 01:24:30.334,FlushCachedBar_Called,70,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=69; CurrentBar=70}
2025-11-18 01:24:30.405,FlushCachedBar_Logging,70,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=69}
2025-11-18 01:24:31.296,FlushCachedBar_Called,71,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=70; CurrentBar=71}
2025-11-18 01:24:31.357,FlushCachedBar_Logging,71,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=70}
2025-11-18 01:24:32.531,FlushCachedBar_Called,72,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=71; CurrentBar=72}
2025-11-18 01:24:32.587,FlushCachedBar_Logging,72,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=71}
2025-11-18 01:24:38.830,FlushCachedBar_Called,73,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=72; CurrentBar=73}
2025-11-18 01:24:38.889,FlushCachedBar_Logging,73,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=72}
