ts_local,bar_time_utc,bar_index,open,high,low,close,vpm,attract,objection,netflow,ema_color,momentum,supertrend,upper_band,lower_band,bull_cross,bear_cross,bull_cross_raw,bear_cross_raw,bull_reason,bear_reason,realtime_state,realtime_reason,regime,atr30,ema10,ema20,energy_ema_first,range_max,range_min,range_mid,range_os,range_count,score_bull,score_bear,adx,atr_ratio,ema_spread,price_to_band,momentum_ext,range_break,exit_long,exit_short
2025-11-17 13:41:30.000,2025-11-17T19:41:30.0000000Z,1522,25214.75,25214.75,25203.25,25208,2,2,4.5,-2.5,0,-0.0013172881691675333,25246.549999999999,25246.549999999999,25181.950000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,7.0846609173106234,25220.668751730205,25223.899961740648,25223.49240978029,25218.270200705985,25204.954799294013,25211.612499999999,-1,2,917.05466382618704,4,4,24.154276087791324,0.00026398911066430851,-0.20579479581935473,0.19023779724653564,-0.00040492627378941861,0,0,0
2025-11-17 13:42:00.000,2025-11-17T19:42:00.0000000Z,1523,25208.5,25210.5,25205.75,25207.5,2,1.5,4.5,-3,0,-0.0011986013016215787,25239.799999999999,25239.799999999999,25181.950000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,7.0021166645113802,25218.216581994137,25222.299511869656,25220.713927824232,25218.270200705985,25204.954799294013,25211.612499999999,-1,3,1125.1475536619023,3,3,25.696315686223812,0.00026808677569640675,-0.33824110552353359,0.065081351689580333,-0.00048399363894074536,0,0,0
2025-11-17 13:42:30.000,2025-11-17T19:42:30.0000000Z,1524,25208,25213.75,25207.5,25212.5,4,1.5,2.5,-1,0,-0.00079262855444367378,25239.799999999999,25239.799999999999,25181.950000000001,0,0,0,0,,[RT-FLAT],FLAT,NONE_UP|diff=4.50|BULL_FAIL:net<1.00&ema<8|BEAR_FAIL:obj<4.00,BEAR,6.9539905534721127,25217.846624937349,25221.75398012697,25219.991142259387,25218.270200705985,25204.954799294013,25211.612499999999,-1,3,802.98725799682393,4,4,25.751941697930231,0.00026705631314130661,-0.4343973776240479,0.065081351689580333,-0.00048399363894074536,0,0,0
2025-11-17 13:43:00.000,2025-11-17T19:43:00.0000000Z,1525,25212.5,25218.5,25212.5,25218.25,2,3.5,2.5,1,0,-0.00078255012283065214,25239.799999999999,25239.799999999999,25181.950000000001,0,0,0,0,[NETFLOW-BULL] emaColor=0 net=1.00|[RT-FLAT],[RT-FLAT],FLAT,NONE_UP|diff=5.75|BULL_FAIL:ema<8|BEAR_FAIL:net>-0.50&obj<4.00,BEAR,6.9405242016897093,25218.638974122292,25221.844304015107,25220.452913807512,25218.270200705985,25204.954799294013,25211.612499999999,1,5,1013.991505331216,3,3,24.645037720961277,0.00027341792987462899,-0.61407343914485102,-0.19148936170217803,-0.0010764368951214694,0,0,0
2025-11-17 13:43:30.000,2025-11-17T19:43:30.0000000Z,1526,25217.5,25223.5,25214.25,25218,2,3.5,4.5,-1,0,-0.00073306520317793669,25239.799999999999,25239.799999999999,25181.950000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,6.9830622838556078,25218.597177174433,25221.521263723418,25220.922331046015,25218.270200705985,25204.954799294013,25211.612499999999,1,7,922.43878133192175,4,4,22.815881533118041,0.00027390670256547729,-0.79573254271738025,0.5,-0.0012245945999328448,0,0,0
2025-11-17 13:44:00.000,2025-11-17T19:44:00.0000000Z,1527,25218,25223,25215.5,25219.5,2,3.5,2.5,1,0,-0.00074291997266054497,25239.799999999999,25239.799999999999,25181.950000000001,0,0,0,0,[NETFLOW-BULL] emaColor=0 net=1.00|[GUARD-EMA0],[RT-FLAT],FLAT,NONE_UP|diff=1.50|BULL_FAIL:ema<8|BEAR_FAIL:net>-0.50&obj<4.00,BEAR,7.0169602077270872,25219.120830911314,25221.529442688534,25221.587864836813,25218.270200705985,25204.954799294013,25211.612499999999,1,13,747.40363199905903,3,3,21.925398153634951,0.00027270834841697564,-0.94638235730442433,0.5,-0.0012838745358299756,1,0,0
2025-11-17 13:44:30.000,2025-11-17T19:44:30.0000000Z,1528,25220.25,25220.75,25206.5,25207.5,2,3,4.5,-1.5,0,-0.0012678539590720893,25239.799999999999,25239.799999999999,25181.950000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,7.2347282008028513,25215.020349258011,25219.047046786225,25218.750291869455,25218.270200705985,25204.954799294013,25211.612499999999,1,16,1451.8246435549281,3,3,23.22119986693917,0.00028587234375505025,-1.1714300084153961,0.31617647058823201,-0.0017679885426440812,0,0,0
2025-11-17 13:45:00.000,2025-11-17T19:45:00.0000000Z,1529,25207,25210.25,25204.25,25205.5,2,1.5,4.5,-3,0,-0.0012580610010995651,25239.799999999999,25239.799999999999,25181.950000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,7.1874594829983121,25213.157145260684,25217.675219201141,25216.720233495565,25218.270200705985,25204.954799294013,25211.612499999999,-1,16,964.10531792550773,3,3,23.854745431750096,0.00028591645954321868,-1.3584233593950106,0.33691997310019856,-0.0018173377976631406,0,0,0
2025-11-17 13:45:30.000,2025-11-17T19:45:30.0000000Z,1530,25206,25208.5,25203,25205.25,2,1.5,4.5,-3,0,-0.0013965650442740833,25239.799999999999,25239.799999999999,25181.950000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,7.1256552780094795,25211.698821328988,25216.474858188787,25214.926186796456,25218.270200705985,25204.954799294013,25211.612499999999,-1,16,684.73687861700523,3,3,24.477236907148409,0.0002868978014911497,-1.4233905004813603,0.38735709482178665,-0.0016790455120101139,0,0,0
2025-11-17 13:46:00.000,2025-11-17T19:46:00.0000000Z,1531,25205.75,25206.25,25195.5,25197.5,4,2,6.5,-4.5,0,-0.0013673113506658212,25239.799999999999,25239.799999999999,25181.950000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,7.2184112131869416,25207.889944723716,25213.956844483731,25211.520949437167,25218.270200705985,25204.954799294013,25211.612499999999,-1,17,893.60236352244783,6,6,26.293695902931084,0.00028750647021792832,-1.3934778319637697,0.44788164088769233,-0.0015801532748676622,1,0,0
