ts_local,bar_time_utc,bar_index,open,high,low,close,vpm,attract,objection,netflow,ema_color,momentum,supertrend,upper_band,lower_band,bull_cross,bear_cross,bull_cross_raw,bear_cross_raw,bull_reason,bear_reason,realtime_state,realtime_reason,regime,atr30,ema10,ema20,energy_ema_first,range_max,range_min,range_mid,range_os,range_count,score_bull,score_bear,adx,atr_ratio,ema_spread,price_to_band,momentum_ext,curvature_ratio,range_break,exit_long,exit_short
2025-11-19 07:40:30.000,2025-11-19T13:40:30.0000000Z,800,24488,24491,24476,24478.5,2,1.5,6.5,-5,0,-0.0012444408176588192,24532.5,24532.5,24486.650000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,8.3194548513248456,24495.230052408646,24503.728847874725,24499.625753238688,24523.734325159843,24505.990674840155,24514.862499999999,-1,1,1007.2875243134577,6,6,20.841635355503289,0.00032810164129516971,-0.19380807226482807,0.17939393939397466,-0.00017287139385187972,1.5511153318669151,1,0,0
2025-11-19 07:41:00.000,2025-11-19T13:41:00.0000000Z,801,24478.5,24481.25,24465.5,24473,2,2.5,6.5,-4,0,-0.0014484770589795377,24532.5,24532.5,24365.900000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,8.566306356280684,24490.279133788892,24500.280748984162,24494.640602590949,24523.734325159843,24505.990674840155,24514.862499999999,-1,1,1267.0805717645276,6,6,23.779654736675411,0.00032727234069455143,-0.20538360987241233,0.2945454545454898,1.0168802115110839E-05,0.71162145393188247,1,0,0
2025-11-19 07:41:30.000,2025-11-19T13:41:30.0000000Z,802,24472.5,24482.5,24469.25,24481.5,2,2,4.5,-2.5,0,-0.0016108641572529668,24532.5,24532.5,24391.400000000001,0,0,0,0,,[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,8.7165961444046616,24490.158134257021,24499.339044999273,24493.762482072761,24523.734325159843,24505.990674840155,24514.862499999999,-1,1,1158.0537145096851,6,6,25.534345683697886,0.00032748222989160465,-0.1561257294038538,0.41575757575761102,0.00037630690370611447,2.1605385301007893,1,0,0
2025-11-19 07:42:00.000,2025-11-19T13:42:00.0000000Z,803,24482.25,24483.25,24472,24474,2,1.5,6.5,-5,0,-0.0017437058337667105,24532.5,24532.5,24397.5,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,8.7893762729245051,24485.856655301199,24496.143489693219,24489.81998565821,24523.734325159843,24505.990674840155,24514.862499999999,-1,1,967.81358745090131,6,6,27.103949077107927,0.00032843390329191213,-0.12211032783300109,0.40363636363639893,0.00055948893229166663,1.8221522001916666,1,0,0
2025-11-19 07:42:30.000,2025-11-19T13:42:30.0000000Z,804,24473.25,24476.25,24466.5,24468,2,1.5,6.5,-5,0,-0.0018459404607712156,24532.5,24532.5,24401.700000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,8.7947303971603557,24481.874453510896,24493.034585912912,24485.985988526569,24523.734325159843,24505.990674840155,24514.862499999999,-1,1,865.20905830060087,6,6,29.312263558238477,0.00032429696913467557,-0.1235177005786027,0.34303030303033832,0.00012202934805820799,1.533022032677656,1,0,0
2025-11-19 07:43:00.000,2025-11-19T13:43:00.0000000Z,805,24468.25,24470.25,24465.75,24468.25,2,1.5,4.5,-3,0,-0.0020189454578825546,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,8.6385171616994558,24479.397280145276,24490.674149159302,24482.758790821255,24523.734325159843,24505.990674840155,24514.862499999999,-1,1,857.69492775595609,5,5,31.144054048956065,0.00032817113386270124,-0.20842082836122436,0.14303030303033831,-0.00057942728187612453,2.4203321414562735,1,0,0
2025-11-19 07:43:30.000,2025-11-19T13:43:30.0000000Z,806,24468.25,24470,24462.25,24463.75,2,3,6.5,-3.5,0,-0.0021719623118652363,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,8.6169554785316969,24475.791989540347,24487.674570327807,24479.137032657007,24523.734325159843,24505.990674840155,24514.862499999999,-1,2,1021.1299518373041,7,7,33.189903166493366,0.0003291722528701361,-0.32682350863104714,0.0096969696970049743,-0.00086400552963538963,1.4863537218763818,1,0,0
2025-11-19 07:44:00.000,2025-11-19T13:44:00.0000000Z,807,24463.25,24473.25,24459.5,24470.5,2,3.5,4,-0.5,0,-0.0018050357437869038,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,,[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,8.7650014070250855,24475.86286747516,24486.639803992734,24478.959626125605,24523.734325159843,24505.990674840155,24514.862499999999,-1,3,1072.308856780425,7,7,33.654856052412711,0.00033112004167680655,-0.43348596533354078,-0.050909090909055633,-0.00077267181781211875,2.0104287462407258,1,0,0
2025-11-19 07:44:30.000,2025-11-19T13:44:30.0000000Z,808,24470.25,24473.75,24461.5,24464.5,2,3,6,-3,0,-0.0018869271646114461,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,8.8761680267909142,24472.850610578847,24483.988167331296,24476.527700900486,24523.734325159843,24505.990674840155,24514.862499999999,-1,4,922.42812674250558,7,7,34.495001096528064,0.0003285047161638689,-0.46469988851717425,0.52083333333334259,-0.00076238106855330574,2.0998412122743635,1,0,0
2025-11-19 07:45:00.000,2025-11-19T13:45:00.0000000Z,809,24464,24464.75,24458.75,24461.25,2,2.5,6.5,-4,0,-0.0018973589986840897,24498.849999999999,24498.849999999999,24437.650000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BEAR,8.7658513147867723,24470.286863200876,24481.561856610402,24473.54216072039,24523.734325159843,24505.990674840155,24514.862499999999,-1,5,921.39652893944822,7,7,35.758002676340475,0.00032910386116795012,-0.49247946946569054,0.50245098039216585,-0.00069131685694824271,1.8702172907476196,1,0,0
