ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-17 07:04:30.000,PLOT,728,BULL,Triangle drawn on chart,netflow=1.60
2025-11-17 07:05:00.000,LOGGED,729,BULL,Written to signals CSV,"price=25281.00,netflow=1.60"
2025-11-17 07:05:00.000,PLOT,729,BEAR,Triangle drawn on chart,netflow=0.99
2025-11-17 07:05:30.000,LOGGED,730,BEAR,Written to signals CSV,"price=25279.25,netflow=0.99"
2025-11-17 07:06:00.000,PLOT,731,BULL,Triangle drawn on chart,netflow=1.71
2025-11-17 07:06:30.000,LOGGED,732,BULL,Written to signals CSV,"price=25279.25,netflow=1.71"
2025-11-17 07:06:30.000,PLOT,732,BEAR,Triangle drawn on chart,netflow=4.38
2025-11-17 07:07:00.000,LOGGED,733,BEAR,Written to signals CSV,"price=25284.75,netflow=4.38"
2025-11-17 07:07:00.000,PLOT,733,BULL,Triangle drawn on chart,netflow=3.71
2025-11-17 07:07:30.000,LOGGED,734,BULL,Written to signals CSV,"price=25282.00,netflow=3.71"
2025-11-17 07:09:00.000,PLOT,737,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-17 07:09:30.000,LOGGED,738,BEAR,Written to signals CSV,"price=25268.50,netflow=-2.00"
2025-11-17 07:16:00.000,PLOT,751,BULL,Triangle drawn on chart,netflow=2.00
2025-11-17 07:16:30.000,LOGGED,752,BULL,Written to signals CSV,"price=25277.50,netflow=2.00"
2025-11-17 07:16:30.000,PLOT,752,BEAR,Triangle drawn on chart,netflow=3.43
2025-11-17 07:17:00.000,LOGGED,753,BEAR,Written to signals CSV,"price=25281.00,netflow=3.43"
2025-11-17 07:17:00.000,PLOT,753,BULL,Triangle drawn on chart,netflow=2.97
2025-11-17 07:17:30.000,LOGGED,754,BULL,Written to signals CSV,"price=25278.75,netflow=2.97"
2025-11-17 07:19:30.000,PLOT,758,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-17 07:20:00.000,LOGGED,759,BEAR,Written to signals CSV,"price=25270.50,netflow=-0.50"
2025-11-17 07:24:30.000,PLOT,768,BULL,Triangle drawn on chart,netflow=0.00
2025-11-17 07:25:00.000,LOGGED,769,BULL,Written to signals CSV,"price=25271.50,netflow=0.00"
2025-11-17 07:25:00.000,PLOT,769,BEAR,Triangle drawn on chart,netflow=0.00
2025-11-17 07:25:30.000,LOGGED,770,BEAR,Written to signals CSV,"price=25273.00,netflow=0.00"
2025-11-17 07:26:00.000,PLOT,771,BULL,Triangle drawn on chart,netflow=1.78
2025-11-17 07:26:30.000,LOGGED,772,BULL,Written to signals CSV,"price=25278.25,netflow=1.78"
2025-11-17 07:27:00.000,PLOT,773,BEAR,Triangle drawn on chart,netflow=-2.50
2025-11-17 07:27:30.000,LOGGED,774,BEAR,Written to signals CSV,"price=25266.00,netflow=-2.50"
2025-11-17 07:31:00.000,PLOT,781,BULL,Triangle drawn on chart,netflow=0.50
2025-11-17 07:31:30.000,LOGGED,782,BULL,Written to signals CSV,"price=25269.75,netflow=0.50"
2025-11-17 07:31:30.000,PLOT,782,BEAR,Triangle drawn on chart,netflow=-3.00
2025-11-17 07:32:00.000,LOGGED,783,BEAR,Written to signals CSV,"price=25265.75,netflow=-3.00"
2025-11-17 07:32:30.000,PLOT,784,BULL,Triangle drawn on chart,netflow=2.73
2025-11-17 07:33:00.000,LOGGED,785,BULL,Written to signals CSV,"price=25275.75,netflow=2.73"
2025-11-17 07:35:00.000,PLOT,789,BEAR,Triangle drawn on chart,netflow=-1.50
2025-11-17 07:35:30.000,LOGGED,790,BEAR,Written to signals CSV,"price=25265.50,netflow=-1.50"
2025-11-17 07:51:00.000,PLOT,821,BULL,Triangle drawn on chart,netflow=-1.25
2025-11-17 07:51:30.000,LOGGED,822,BULL,Written to signals CSV,"price=25263.50,netflow=-1.25"
2025-11-17 07:51:30.000,PLOT,822,BEAR,Triangle drawn on chart,netflow=-0.94
2025-11-17 07:52:00.000,LOGGED,823,BEAR,Written to signals CSV,"price=25262.50,netflow=-0.94"
2025-11-17 08:06:00.000,PLOT,851,BULL,Triangle drawn on chart,netflow=3.12
2025-11-17 08:06:30.000,LOGGED,852,BULL,Written to signals CSV,"price=25255.00,netflow=3.12"
2025-11-17 08:06:30.000,PLOT,852,BEAR,Triangle drawn on chart,netflow=3.25
2025-11-17 08:07:00.000,LOGGED,853,BEAR,Written to signals CSV,"price=25254.50,netflow=3.25"
2025-11-17 08:07:00.000,PLOT,853,BULL,Triangle drawn on chart,netflow=3.46
2025-11-17 08:07:30.000,LOGGED,854,BULL,Written to signals CSV,"price=25255.50,netflow=3.46"
2025-11-17 08:11:30.000,PLOT,862,BEAR,Triangle drawn on chart,netflow=0.00
2025-11-17 08:12:00.000,LOGGED,863,BEAR,Written to signals CSV,"price=25244.50,netflow=0.00"
