ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-18 07:20:00.000,PLOT,759,BULL,Triangle drawn on chart,netflow=0.29
2025-11-18 07:20:30.000,LOGGED,760,BULL,Written to signals CSV,"price=24753.50,netflow=0.29"
2025-11-18 07:22:00.000,PLOT,763,BEAR,Triangle drawn on chart,netflow=0.61
2025-11-18 07:22:30.000,LOGGED,764,BEAR,Written to signals CSV,"price=24756.50,netflow=0.61"
2025-11-18 07:22:30.000,PLOT,764,BULL,Triangle drawn on chart,netflow=-0.13
2025-11-18 07:23:00.000,LOGGED,765,BULL,Written to signals CSV,"price=24751.50,netflow=-0.13"
2025-11-18 07:24:30.000,PLOT,768,BEAR,Triangle drawn on chart,netflow=-1.13
2025-11-18 07:25:00.000,LOGGED,769,BEAR,Written to signals CSV,"price=24745.75,netflow=-1.13"
2025-11-18 07:36:00.000,PLOT,791,BULL,Triangle drawn on chart,netflow=3.00
2025-11-18 07:36:30.000,LOGGED,792,BULL,Written to signals CSV,"price=24740.75,netflow=3.00"
2025-11-18 07:37:00.000,PLOT,793,BEAR,Triangle drawn on chart,netflow=0.00
2025-11-18 07:37:30.000,LOGGED,794,BEAR,Written to signals CSV,"price=24739.50,netflow=0.00"
2025-11-18 07:37:30.000,PLOT,794,BULL,Triangle drawn on chart,netflow=-1.00
2025-11-18 07:38:00.000,LOGGED,795,BULL,Written to signals CSV,"price=24734.00,netflow=-1.00"
2025-11-18 07:38:00.000,PLOT,795,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-18 07:38:30.000,LOGGED,796,BEAR,Written to signals CSV,"price=24737.50,netflow=0.50"
2025-11-18 07:40:00.000,PLOT,799,BULL,Triangle drawn on chart,netflow=0.50
2025-11-18 07:40:30.000,LOGGED,800,BULL,Written to signals CSV,"price=24736.00,netflow=0.50"
2025-11-18 07:40:30.000,PLOT,800,BEAR,Triangle drawn on chart,netflow=1.08
2025-11-18 07:41:00.000,LOGGED,801,BEAR,Written to signals CSV,"price=24740.25,netflow=1.08"
2025-11-18 07:42:30.000,PLOT,804,BULL,Triangle drawn on chart,netflow=1.64
2025-11-18 07:43:00.000,LOGGED,805,BULL,Written to signals CSV,"price=24742.00,netflow=1.64"
2025-11-18 07:53:00.000,PLOT,825,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-18 07:53:30.000,LOGGED,826,BEAR,Written to signals CSV,"price=24732.00,netflow=-2.00"
2025-11-18 08:15:30.000,PLOT,870,BULL,Triangle drawn on chart,netflow=1.65
2025-11-18 08:16:00.000,LOGGED,871,BULL,Written to signals CSV,"price=24724.75,netflow=1.65"
2025-11-18 08:16:00.000,PLOT,871,BEAR,Triangle drawn on chart,netflow=-1.08
2025-11-18 08:16:30.000,LOGGED,872,BEAR,Written to signals CSV,"price=24719.00,netflow=-1.08"
2025-11-18 08:17:00.000,PLOT,873,BULL,Triangle drawn on chart,netflow=1.45
2025-11-18 08:17:30.000,LOGGED,874,BULL,Written to signals CSV,"price=24731.25,netflow=1.45"
2025-11-18 08:21:00.000,PLOT,881,BEAR,Triangle drawn on chart,netflow=0.46
2025-11-18 08:21:30.000,LOGGED,882,BEAR,Written to signals CSV,"price=24731.50,netflow=0.46"
2025-11-18 08:56:00.000,PLOT,951,BULL,Triangle drawn on chart,netflow=3.74
2025-11-18 08:56:30.000,LOGGED,952,BULL,Written to signals CSV,"price=24677.75,netflow=3.74"
2025-11-18 08:58:00.000,PLOT,955,BEAR,Triangle drawn on chart,netflow=1.84
2025-11-18 08:58:30.000,LOGGED,956,BEAR,Written to signals CSV,"price=24656.50,netflow=1.84"
2025-11-18 09:23:00.000,PLOT,1005,BULL,Triangle drawn on chart,netflow=3.68
2025-11-18 09:23:30.000,LOGGED,1006,BULL,Written to signals CSV,"price=24654.25,netflow=3.68"
2025-11-18 09:52:00.000,PLOT,1063,BEAR,Triangle drawn on chart,netflow=-2.50
2025-11-18 09:52:30.000,LOGGED,1064,BEAR,Written to signals CSV,"price=24711.50,netflow=-2.50"
2025-11-18 10:01:00.000,PLOT,1081,BULL,Triangle drawn on chart,netflow=4.52
2025-11-18 10:01:30.000,LOGGED,1082,BULL,Written to signals CSV,"price=24727.25,netflow=4.52"
2025-11-18 10:47:30.000,PLOT,1174,BEAR,Triangle drawn on chart,netflow=2.00
2025-11-18 10:48:00.000,LOGGED,1175,BEAR,Written to signals CSV,"price=24803.00,netflow=2.00"
2025-11-18 10:56:00.000,PLOT,1191,BULL,Triangle drawn on chart,netflow=1.50
2025-11-18 10:56:30.000,LOGGED,1192,BULL,Written to signals CSV,"price=24793.50,netflow=1.50"
2025-11-18 10:56:30.000,PLOT,1192,BEAR,Triangle drawn on chart,netflow=2.00
2025-11-18 10:57:00.000,LOGGED,1193,BEAR,Written to signals CSV,"price=24804.50,netflow=2.00"
2025-11-18 10:57:00.000,PLOT,1193,BULL,Triangle drawn on chart,netflow=2.00
2025-11-18 10:57:30.000,LOGGED,1194,BULL,Written to signals CSV,"price=24807.50,netflow=2.00"
2025-11-18 11:01:00.000,PLOT,1201,BEAR,Triangle drawn on chart,netflow=4.78
2025-11-18 11:01:30.000,LOGGED,1202,BEAR,Written to signals CSV,"price=24812.00,netflow=4.78"
2025-11-18 11:01:30.000,PLOT,1202,BULL,Triangle drawn on chart,netflow=2.03
2025-11-18 11:02:00.000,LOGGED,1203,BULL,Written to signals CSV,"price=24795.25,netflow=2.03"
2025-11-18 11:02:00.000,PLOT,1203,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-18 11:02:30.000,LOGGED,1204,BEAR,Written to signals CSV,"price=24786.00,netflow=0.50"
2025-11-18 11:05:30.000,PLOT,1210,BULL,Triangle drawn on chart,netflow=2.00
2025-11-18 11:06:00.000,LOGGED,1211,BULL,Written to signals CSV,"price=24800.50,netflow=2.00"
2025-11-18 11:06:00.000,PLOT,1211,BEAR,Triangle drawn on chart,netflow=1.50
2025-11-18 11:06:30.000,LOGGED,1212,BEAR,Written to signals CSV,"price=24799.75,netflow=1.50"
2025-11-18 11:08:00.000,PLOT,1215,BULL,Triangle drawn on chart,netflow=3.05
2025-11-18 11:08:30.000,LOGGED,1216,BULL,Written to signals CSV,"price=24803.00,netflow=3.05"
2025-11-18 11:08:30.000,PLOT,1216,BEAR,Triangle drawn on chart,netflow=1.50
2025-11-18 11:09:00.000,LOGGED,1217,BEAR,Written to signals CSV,"price=24797.50,netflow=1.50"
2025-11-18 11:09:00.000,PLOT,1217,BULL,Triangle drawn on chart,netflow=3.71
2025-11-18 11:09:30.000,LOGGED,1218,BULL,Written to signals CSV,"price=24805.00,netflow=3.71"
2025-11-18 11:10:00.000,PLOT,1219,BEAR,Triangle drawn on chart,netflow=3.56
2025-11-18 11:10:30.000,LOGGED,1220,BEAR,Written to signals CSV,"price=24799.00,netflow=3.56"
2025-11-18 11:12:00.000,PLOT,1223,BULL,Triangle drawn on chart,netflow=3.57
2025-11-18 11:12:30.000,LOGGED,1224,BULL,Written to signals CSV,"price=24804.25,netflow=3.57"
2025-11-18 11:12:30.000,PLOT,1224,BEAR,Triangle drawn on chart,netflow=4.01
2025-11-18 11:13:00.000,LOGGED,1225,BEAR,Written to signals CSV,"price=24811.50,netflow=4.01"
2025-11-18 11:13:00.000,PLOT,1225,BULL,Triangle drawn on chart,netflow=4.05
2025-11-18 11:13:30.000,LOGGED,1226,BULL,Written to signals CSV,"price=24808.75,netflow=4.05"
2025-11-18 11:13:30.000,PLOT,1226,BEAR,Triangle drawn on chart,netflow=4.09
2025-11-18 11:14:00.000,LOGGED,1227,BEAR,Written to signals CSV,"price=24807.50,netflow=4.09"
