ts,method,bip,state,instrument,account,msg
2025-11-18 23:21:13.177,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24548.25 guard=24545 prev=24548.25
2025-11-18 23:21:13.282,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24548.25 guard=24545 prev=24548.25
2025-11-18 23:21:13.474,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24547.75 guard=24544.5 prev=24548.25
2025-11-18 23:21:13.500,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:13 PM , SL_B , FromEntry=ShortB , State=ChangePending , Lmt=0 Stp=24548.25 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:13.582,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:13 PM , SL_B , FromEntry=ShortB , State=ChangeSubmitted , Lmt=0 Stp=24547.75 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:13.600,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[Runner] ShortB SL_B -> 24547.75
2025-11-18 23:21:13.737,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:13 PM , SL_B , FromEntry=ShortB , State=Accepted , Lmt=0 Stp=24547.75 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:13.755,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24547 guard=24543.75 prev=24547.75
2025-11-18 23:21:13.774,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:13 PM , SL_B , FromEntry=ShortB , State=ChangePending , Lmt=0 Stp=24547.75 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:13.782,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:13 PM , SL_B , FromEntry=ShortB , State=ChangeSubmitted , Lmt=0 Stp=24547 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:13.792,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[Runner] ShortB SL_B -> 24547
2025-11-18 23:21:14.124,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:14 PM , SL_B , FromEntry=ShortB , State=Accepted , Lmt=0 Stp=24547 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:14.775,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24547.5 guard=24544.25 prev=24547
