timestamp,bar,direction,open,high,low,close,openFinal,highFinal,lowFinal,closeFinal,candleType,fastEma,fastEmaGradDeg,volume,bodyPct,upperWick,lowerWick,action,orderName,quantity,price,pnl,reason,prevOpen,prevClose,prevCandleType,allowLongThisBar,allowShortThisBar,trendUpAtDecision,trendDownAtDecision,decisionBarIndex,pendingShortFromGood,pendingLongFromBad,barPattern
2025-12-15 06:38:00.000,858,LONG,25507.2500,25510.7500,25506.0000,25510.2500,25507.2500,25510.7500,25506.0000,25510.2500,good,25507.7740,38.5714,191,0.631579,0.5000,1.2500,BAR,,1,25509.75,,InTrade,,,,True,False,True,False,858,False,False,
2025-12-15 06:40:00.000,859,LONG,25510.7500,25515.0000,25510.7500,25513.0000,25510.7500,25515.0000,25510.7500,25513.0000,good,25509.5160,56.1325,204,0.529412,2.0000,0.0000,BAR,,1,25509.75,,InTrade,,,,True,False,True,False,859,False,False,
2025-12-15 06:42:00.000,860,LONG,25514.0000,25515.0000,25509.2500,25513.5000,25514.0000,25515.0000,25509.2500,25513.5000,bad,25510.8440,56.9169,120,-0.086957,1.0000,4.2500,BAR,,1,25509.75,,InTrade,,,,False,True,False,True,860,False,False,
2025-12-15 06:46:00.000,861,SHORT,25513.5000,25515.5000,25512.0000,25512.7500,25513.5000,25515.5000,25512.0000,25512.7500,bad,25511.4793,56.9169,105,-0.214286,2.0000,0.7500,ENTRY,BarsOnTheFlowShort,1,25512.7500,,TrendDown,25514.0000,25513.5000,bad,False,True,False,True,861,False,False,2B2GB
2025-12-15 06:46:00.000,861,FLAT,25513.5000,25515.5000,25512.0000,25512.7500,25513.5000,25515.5000,25512.0000,25512.7500,bad,25511.4793,56.9169,105,-0.214286,2.0000,0.7500,EXIT,BarsOnTheFlowExit,1,25512.7500,6.00,TrendBreak,25514.0000,25513.5000,bad,False,True,False,True,861,False,False,
2025-12-15 06:44:00.000,861,SHORT,25513.5000,25515.5000,25512.0000,25512.7500,25513.5000,25515.5000,25512.0000,25512.7500,bad,25511.4793,44.4697,105,-0.214286,2.0000,0.7500,BAR,,1,25512.75,,InTrade,,,,False,True,False,True,861,False,False,
2025-12-15 06:46:00.000,862,SHORT,25512.7500,25517.7500,25512.7500,25516.5000,25512.7500,25517.7500,25512.7500,25516.5000,good,25513.1529,49.1002,130,0.750000,1.2500,0.0000,BAR,,1,25512.75,,InTrade,,,,True,False,True,False,862,False,False,
2025-12-15 06:50:00.000,863,LONG,25516.5000,25518.0000,25514.7500,25514.7500,25516.5000,25518.0000,25514.7500,25514.7500,bad,25513.6853,49.1002,197,-0.538462,1.5000,0.0000,ENTRY,BarsOnTheFlowLong,1,25514.2500,,TrendUp,25512.7500,25516.5000,good,True,False,True,False,863,False,False,2G2BG
2025-12-15 06:50:00.000,863,FLAT,25516.5000,25518.0000,25514.7500,25514.7500,25516.5000,25518.0000,25514.7500,25514.7500,bad,25513.6853,49.1002,197,-0.538462,1.5000,0.0000,EXIT,Buy to cover,1,25514.2500,-3.00,Buy to cover,25512.7500,25516.5000,good,True,False,True,False,863,False,False,
2025-12-15 06:48:00.000,863,LONG,25516.5000,25518.0000,25514.7500,25514.7500,25516.5000,25518.0000,25514.7500,25514.7500,bad,25513.6853,47.8029,197,-0.538462,1.5000,0.0000,BAR,,1,25514.25,,InTrade,,,,False,True,False,True,863,False,False,
2025-12-15 06:52:00.000,864,FLAT,25514.2500,25515.7500,25512.7500,25515.7500,25514.2500,25515.7500,25512.7500,25515.7500,good,25514.3735,47.8029,120,0.500000,0.0000,1.5000,EXIT,Trail stop,1,25521.7500,-12.00,Trail stop,25516.5000,25514.7500,bad,False,True,False,True,864,False,False,
2025-12-15 06:52:00.000,864,SHORT,25514.2500,25515.7500,25512.7500,25515.7500,25514.2500,25515.7500,25512.7500,25515.7500,good,25514.3735,47.8029,120,0.500000,0.0000,1.5000,ENTRY,BarsOnTheFlowShort,1,25515.7500,,TrendDown,25516.5000,25514.7500,bad,False,True,False,True,864,False,False,G2BGB
2025-12-15 06:52:00.000,864,FLAT,25514.2500,25515.7500,25512.7500,25515.7500,25514.2500,25515.7500,25512.7500,25515.7500,good,25514.3735,47.8029,120,0.500000,0.0000,1.5000,EXIT,BarsOnTheFlowExit,1,25515.7500,3.00,TrendBreak,25516.5000,25514.7500,bad,False,True,False,True,864,False,False,
